Cód Cidades,Cidades,UF,Já é atendido pela Loggi?,Distância de Cajamar (km),População 2018,área em KM2,Tem malha aerea?,Latitude,Longitude,IDH,Taxa de Homicídio
3300100,Angra dos Reis (RJ),RJ,nao,"405,8",194736,800,nao,-23.006396600000000,-44.31632600000000,"0,724","49,1"
3545803,Santa Bárbara d'Oeste (SP),SP,nao, sem info,191863,271,nao,-22.755251100000000,-47.414495800000000,"0,781","12,0"
3515707,Ferraz de Vasconcelos (SP),SP,nao,"51,03",188891,30,nao,-23.54105600000000,-46.3709700000000,"0,738","16,1"
3303401,Nova Friburgo (RJ),RJ,nao,"547,15",185370,933,nao,-22.280000400000000,-42.532530300000000,"0,745","19,4"
2804805,Nossa Senhora do Socorro (SE),SE,nao,2166,181946,158,nao,-10.855311500000000,-37.126486300000000,"0,664","86,3"
4109401,Guarapuava (PR),PR,nao,"673,03",180353,3115,nao,-25.395098600000000,-51.462201600000000,"0,731","29,0"
3300407,Barra Mansa (RJ),RJ,nao,"312,29",180290,547,nao,-22.539484300000000,-44.173512900000000,"0,729","20,0"
2111201,São José de Ribamar (MA),MA,nao,2914,177651,386,nao,-2.560911500000000,-44.055950900000000,"0,708","75,6"
3129806,Ibirité (MG),MG,nao,"571,93",177524,73,nao,-20.021425100000000,-44.062150600000000,"0,704","41,0"
2913606,Ilhéus (BA),BA,nao,1691,176141,1841,sim,-14.79304500000000,-39.0460200000000,"0,69","56,1"
3305802,Teresópolis (RJ),RJ,nao,"488,37",176081,771,nao,-22.416457800000000,-42.97519400000000,"0,73","13,2"
1702109,Araguaína (TO),TO,nao,2042,175996,4000,nao,-7.19324100000000,-48.201859700000000,"0,752","70,5"
3516309,Francisco Morato (SP),SP,nao,"49,81",171614,49,nao,-23.281730800000000,-46.744899600000000,"0,703","15,9"
3302858,Mesquita (RJ),RJ,nao,"411,2",171244,35,nao,-22.78309200000000,-43.429359900000000,"0,737","54,4"
3522208,Itapecerica da Serra (SP),SP,nao,"42,39",170947,151,nao,-23.717630300000000,-46.849243500000000,"0,742","34,3"
4208906,Jaraguá do Sul (SC),SC,nao,"554,52",170879,533,nao,-26.489743200000000,-49.077806300000000,"0,803","5,4"
3523909,Itu (SP),SP,nao,"101,24",170161,640,nao,-23.263882800000000,-47.29889200000000,"0,773","11,9"
3203205,Linhares (ES),ES,nao,1089,169296,3502,nao,-19.381694400000000,-40.061221300000000,"0,724","36,6"
2112209,Timon (MA),MA,nao,2689,167625,1741,nao,-5.102332500000000,-42.844951800000000,"0,649","49,9"
3151800,Poços de Caldas (MG),MG,nao,"273,56",166096,544,nao,-21.79083300000000,-46.56555600000000,"0,779","23,6"
4211900,Palhoça (SC),SC,nao,"697,93",164976,395,nao,-27.645889100000000,-48.66928600000000,"0,757","13,0"
3507605,Bragança Paulista (SP),SP,nao,"87,41",164182,514,nao,-22.952023500000000,-46.541858600000000,"0,776","9,2"
3538006,Pindamonhangaba (SP),SP,nao,"157,62",164016,730,nao,-22.934016500000000,-45.46293800000000,"0,773","24,6"
2103000,Caxias (MA),MA,nao,2708,162614,5224,nao,-4.865420100000000,-43.35366400000000,"0,624","31,5"
2918001,Jequié (BA),BA,nao,1610,162152,3035,nao,-13.860403300000000,-40.071962700000000,"0,665","75,4"
2931350,Teixeira de Freitas (BA),BA,nao,1324,161767,1154,nao,-17.537664400000000,-39.745809600000000,"0,685","83,8"
3522307,Itapetininga (SP),SP,nao,"173,05",160080,1792,nao,-23.58860700000000,-48.04832600000000,"0,763","17,0"
3548807,São Caetano do Sul (SP),SP,nao,"13,45",159589,15,nao,-23.619592300000000,-46.568832300000000,"0,862","9,4"
5221858,Valparaíso de Goiás (GO),GO,nao,1005,159559,60,nao,-16.068639400000000,-47.976490700000000,"0,746","45,4"
4209300,Lages (SC),SC,nao,"770,05",158449,2644,sim,-27.816566400000000,-50.32588300000000,"0,77","14,5"
3303203,Nilópolis (RJ),RJ,nao,"414,01",158287,19,nao,-22.808011400000000,-43.413822200000000,"0,753","73,3"
2903201,Barreiras (BA),BA,nao,1616,157058,7895,nao,-12.144003100000000,-44.996740600000000,"0,721","64,9"
2603454,Camaragibe (PE),PE,nao,2659,156369,55,nao,-8.021383200000000,-34.981076800000000,"0,692","62,5"
2900702,Alagoinhas (BA),BA,nao,1936,156156,734,nao,-12.13352600000000,-38.42077200000000,"0,683","81,1"
1500107,Abaetetuba (PA),PA,nao,2759,153334,1611,nao,-1.72182800000000,-48.87884300000000,"0,628","46,1"
3302700,Maricá (RJ),RJ,nao,"490,75",153238,362,nao,-22.919677200000000,-42.818437500000000,"0,765","36,7"
4118204,Paranaguá (PR),PR,nao,"474,83",152973,827,nao,-25.512190400000000,-48.525185400000000,"0,75","40,2"
3148004,Patos de Minas (MG),MG,nao,"725,29",150903,3189,nao,-18.604145300000000,-46.509669800000000,"0,765","14,7"
2207702,Parnaíba (PI),PI,nao,3011,150504,436,sim,-2.914751500000000,-41.766195300000000,"0,687","24,0"
3516408,Franco da Rocha (SP),SP,nao,"44,03",149531,134,nao,-23.332803800000000,-46.72444600000000,"0,731","19,0"
2925303,Porto Seguro (BA),BA,nao,1585,149410,2409,sim,-16.44347300000000,-39.06425100000000,"0,676","101,7"
3530706,Mogi Guaçu (SP),SP,nao,"197,51",149390,813,nao,-22.37222200000000,-46.942500000000,"0,774","8,8"
3152501,Pouso Alegre (MG),MG,nao,"202,69",147190,544,nao,-22.234385800000000,-45.932724100000000,"0,774","31,6"
3525300,Jaú (SP),SP,nao,"303,04",146352,688,nao,-22.29358500000000,-48.55919300000000,"0,778","6,9"
3304144,Queimados (RJ),RJ,nao,"398,09",145385,77,nao,-22.715697800000000,-43.55575400000000,"0,68","134,9"
3507506,Botucatu (SP),SP,nao,"238,61",142561,1483,nao,-22.887962800000000,-48.441071200000000,"0,8","7,1"
3168606,Teófilo Otoni (MG),MG,nao,1061,141908,3243,nao,-17.857926700000000,-41.508153300000000,"0,701","29,0"
